UPN,N_Y,E_X,Elv_Z,Source,Date_Scanned,
19676,366868.554,2261090.727,917.633,Finn_INV-12_Z-02_B_S01,11/24/2025,
19677,366895.129,2261090.688,917.955,Finn_INV-12_Z-02_B_S01,11/24/2025,
19678,366921.677,2261090.711,917.84,Finn_INV-12_Z-02_B_S01,11/24/2025,
19679,366948.156,2261090.652,917.137,Finn_INV-12_Z-02_B_S01,11/24/2025,
19680,366974.74,2261090.635,916.072,Finn_INV-12_Z-02_B_S01,11/24/2025,
19681,367001.389,2261090.689,914.86,Finn_INV-12_Z-02_B_S01,11/24/2025,
19682,367028.003,2261090.676,913.245,Finn_INV-12_Z-02_B_S01,11/24/2025,
19683,367054.514,2261071.206,910.318,Finn_INV-12_Z-02_B_S01,11/24/2025,
19684,367054.505,2261090.642,911.551,Finn_INV-12_Z-02_B_S01,11/24/2025,
19685,367130.805,2261090.596,907.805,Finn_INV-12_Z-02_B_S01,11/24/2025,
19686,367157.325,2261090.666,906.97,Finn_INV-12_Z-02_B_S01,11/24/2025,
19687,367183.99,2261090.726,906.371,Finn_INV-12_Z-02_B_S01,11/24/2025,
19688,367210.529,2261090.633,905.421,Finn_INV-12_Z-02_B_S01,11/24/2025,
19689,367237.205,2261090.656,904.663,Finn_INV-12_Z-02_B_S01,11/24/2025,
19690,367263.746,2261090.768,903.935,Finn_INV-12_Z-02_B_S01,11/24/2025,
19692,366868.587,2261071.169,917.136,Finn_INV-12_Z-02_B_S01,11/24/2025,
19693,366895.161,2261071.174,916.971,Finn_INV-12_Z-02_B_S01,11/24/2025,
19694,366921.752,2261071.174,916.752,Finn_INV-12_Z-02_B_S01,11/24/2025,
19695,366948.274,2261071.184,916.156,Finn_INV-12_Z-02_B_S01,11/24/2025,
19696,366974.837,2261071.215,915.345,Finn_INV-12_Z-02_B_S01,11/24/2025,
19697,367001.366,2261071.189,914.083,Finn_INV-12_Z-02_B_S01,11/24/2025,
19698,367104.202,2261090.664,909.056,Finn_INV-12_Z-02_B_S01,11/24/2025,
19809,366868.665,2260856.789,912.412,Finn_INV-12_Z-02_B_S01,11/24/2025,
19810,366895.137,2260856.755,910.936,Finn_INV-12_Z-02_B_S01,11/24/2025,
19812,366921.733,2260856.743,909.467,Finn_INV-12_Z-02_B_S01,11/24/2025,
19813,366974.84,2260856.774,906.478,Finn_INV-12_Z-02_B_S01,11/24/2025,
19814,367001.398,2260856.797,905.009,Finn_INV-12_Z-02_B_S01,11/24/2025,
19815,367027.932,2260856.789,903.544,Finn_INV-12_Z-02_B_S01,11/24/2025,
19816,367054.463,2260856.788,902.084,Finn_INV-12_Z-02_B_S01,11/24/2025,
19817,367104.225,2260856.795,899.552,Finn_INV-12_Z-02_B_S01,11/24/2025,
19818,367130.792,2260856.784,898.098,Finn_INV-12_Z-02_B_S01,11/24/2025,
19819,367157.396,2260856.788,896.901,Finn_INV-12_Z-02_B_S01,11/24/2025,
19820,367183.907,2260856.798,896.172,Finn_INV-12_Z-02_B_S01,11/24/2025,
19821,367210.53,2260856.793,894.868,Finn_INV-12_Z-02_B_S01,11/24/2025,
19822,367237.097,2260856.776,893.881,Finn_INV-12_Z-02_B_S01,11/24/2025,
19823,367263.631,2260856.789,892.842,Finn_INV-12_Z-02_B_S01,11/24/2025,
19826,366948.326,2260856.781,908.098,Finn_INV-12_Z-02_B_S01,11/24/2025,
27034,366868.689,2260837.298,912.802,Finn_INV-12_Z-02_B_S01,11/24/2025,
27035,366895.147,2260837.307,911.262,Finn_INV-12_Z-02_B_S01,11/24/2025,
27036,366921.681,2260837.318,909.47,Finn_INV-12_Z-02_B_S01,11/24/2025,
27037,366948.256,2260837.287,907.892,Finn_INV-12_Z-02_B_S01,11/24/2025,
27038,366974.809,2260837.286,906.554,Finn_INV-12_Z-02_B_S01,11/24/2025,
27039,367001.405,2260837.307,905.166,Finn_INV-12_Z-02_B_S01,11/24/2025,
27040,367027.935,2260837.301,903.374,Finn_INV-12_Z-02_B_S01,11/24/2025,
27041,367054.527,2260837.288,901.621,Finn_INV-12_Z-02_B_S01,11/24/2025,
27042,367104.284,2260837.295,898.961,Finn_INV-12_Z-02_B_S01,11/24/2025,
27043,367130.748,2260837.276,897.83,Finn_INV-12_Z-02_B_S01,11/24/2025,
27044,367157.331,2260837.249,896.438,Finn_INV-12_Z-02_B_S01,11/24/2025,
27078,367183.93,2260837.285,895.355,Finn_INV-12_Z-02_B_S01,11/24/2025,
27205,367210.467,2260837.341,894.152,Finn_INV-12_Z-02_B_S01,11/24/2025,
27206,367237.052,2260837.257,892.911,Finn_INV-12_Z-02_B_S01,11/24/2025,
27207,367263.587,2260837.345,891.961,Finn_INV-12_Z-02_B_S01,11/24/2025,
27336,366868.678,2260817.786,912.922,Finn_INV-12_Z-02_B_S01,11/24/2025,
27337,366895.261,2260817.73,911.047,Finn_INV-12_Z-02_B_S01,11/24/2025,
27338,366921.718,2260817.849,909.02,Finn_INV-12_Z-02_B_S01,11/24/2025,
27339,366948.376,2260817.737,907.51,Finn_INV-12_Z-02_B_S01,11/24/2025,
27340,366974.764,2260817.775,906.152,Finn_INV-12_Z-02_B_S01,11/24/2025,
27341,367001.409,2260817.776,905.218,Finn_INV-12_Z-02_B_S01,11/24/2025,
27342,367027.981,2260817.756,903.58,Finn_INV-12_Z-02_B_S01,11/24/2025,
27343,367054.657,2260817.813,901.88,Finn_INV-12_Z-02_B_S01,11/24/2025,
27344,367104.125,2260817.788,898.591,Finn_INV-12_Z-02_B_S01,11/24/2025,
27345,367130.731,2260817.772,897.103,Finn_INV-12_Z-02_B_S01,11/24/2025,
27346,367157.368,2260817.75,895.784,Finn_INV-12_Z-02_B_S01,11/24/2025,
27347,367183.87,2260817.791,894.535,Finn_INV-12_Z-02_B_S01,11/24/2025,
27349,367210.401,2260817.797,893.083,Finn_INV-12_Z-02_B_S01,11/24/2025,
27350,367263.603,2260817.766,891.053,Finn_INV-12_Z-02_B_S01,11/24/2025,
27351,367290.14,2260817.706,890.164,Finn_INV-12_Z-02_B_S01,11/24/2025,
27363,367237.263,2260817.771,891.889,Finn_INV-12_Z-02_B_S01,11/24/2025,
27367,367290.129,2260837.164,891.083,Finn_INV-12_Z-02_B_S01,11/24/2025,
27399,367290.078,2260798.178,889.094,Finn_INV-12_Z-02_B_S01,11/24/2025,
27412,367263.531,2260798.272,890.275,Finn_INV-12_Z-02_B_S01,11/24/2025,
27429,367236.98,2260798.258,890.96,Finn_INV-12_Z-02_B_S01,11/24/2025,
27430,367183.905,2260798.196,893.583,Finn_INV-12_Z-02_B_S01,11/24/2025,
27444,367210.367,2260798.245,892.347,Finn_INV-12_Z-02_B_S01,11/24/2025,
27448,366868.638,2260798.275,913.034,Finn_INV-12_Z-02_B_S01,11/24/2025,
27449,366895.192,2260798.263,910.892,Finn_INV-12_Z-02_B_S01,11/24/2025,
27450,366921.706,2260798.299,908.79,Finn_INV-12_Z-02_B_S01,11/24/2025,
27451,366948.328,2260798.339,907.085,Finn_INV-12_Z-02_B_S01,11/24/2025,
27452,366974.864,2260798.296,905.684,Finn_INV-12_Z-02_B_S01,11/24/2025,
27453,367001.348,2260798.301,905.115,Finn_INV-12_Z-02_B_S01,11/24/2025,
27454,367027.911,2260798.286,903.787,Finn_INV-12_Z-02_B_S01,11/24/2025,
27455,367054.525,2260798.26,902.19,Finn_INV-12_Z-02_B_S01,11/24/2025,
27456,367104.146,2260798.262,898.516,Finn_INV-12_Z-02_B_S01,11/24/2025,
27457,367130.772,2260798.27,896.703,Finn_INV-12_Z-02_B_S01,11/24/2025,
27458,367157.287,2260798.292,895.227,Finn_INV-12_Z-02_B_S01,11/24/2025,
29784,366921.568,2261149.251,918.833,Finn_INV-12_Z-02_B_S01,11/24/2025,
29785,366948.131,2261149.249,918.588,Finn_INV-12_Z-02_B_S01,11/24/2025,
29786,366974.68,2261149.257,917.815,Finn_INV-12_Z-02_B_S01,11/24/2025,
29787,367001.318,2261149.185,916.631,Finn_INV-12_Z-02_B_S01,11/24/2025,
29788,367027.964,2261149.2,915.723,Finn_INV-12_Z-02_B_S01,11/24/2025,
29789,367054.456,2261149.169,914.761,Finn_INV-12_Z-02_B_S01,11/24/2025,
29790,367104.232,2261149.2,912.815,Finn_INV-12_Z-02_B_S01,11/24/2025,
29791,367130.798,2261149.241,911.413,Finn_INV-12_Z-02_B_S01,11/24/2025,
29792,367157.346,2261149.267,910.827,Finn_INV-12_Z-02_B_S01,11/24/2025,
29793,367183.939,2261149.201,910.06,Finn_INV-12_Z-02_B_S01,11/24/2025,
29794,367210.731,2261149.29,909.289,Finn_INV-12_Z-02_B_S01,11/24/2025,
29795,367237.12,2261149.314,908.516,Finn_INV-12_Z-02_B_S01,11/24/2025,
29796,367263.685,2261149.231,908.118,Finn_INV-12_Z-02_B_S01,11/24/2025,
29845,366894.99,2261149.212,918.702,Finn_INV-12_Z-02_B_S01,11/24/2025,
29877,366868.397,2261149.182,918.059,Finn_INV-12_Z-02_B_S01,11/24/2025,
30580,367157.271,2260778.773,894.919,Finn_INV-12_Z-02_B_S01,11/24/2025,
30581,367183.847,2260778.762,893.231,Finn_INV-12_Z-02_B_S01,11/24/2025,
30582,367210.346,2260778.763,891.684,Finn_INV-12_Z-02_B_S01,11/24/2025,
30583,367236.939,2260778.773,890.136,Finn_INV-12_Z-02_B_S01,11/24/2025,
30584,367263.492,2260778.768,889.238,Finn_INV-12_Z-02_B_S01,11/24/2025,
30585,366868.621,2260759.289,912.189,Finn_INV-12_Z-02_B_S01,11/24/2025,
30586,366895.127,2260759.282,909.959,Finn_INV-12_Z-02_B_S01,11/24/2025,
30587,366921.66,2260759.238,907.727,Finn_INV-12_Z-02_B_S01,11/24/2025,
