UPN,N_Y,E_X,Elv_Z,Source,Date_Scanned,Detected,Pile_Height,Top_X,Top_Y,Top_Z,Bot_X,Bot_Y,Bot_Z,Lean_East_Deg,Lean_North_Deg,Tracker_Slope_Pct,Elv_Dz_Deg,Abs_Elv_Dz,Bot_X_1ft,Bot_Y_1ft,Bot_Z_1ft
5566,365847.583,2263820.664,895.976,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
5567,365874.18,2263820.79,895.341,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
5568,366372.652,2263703.803,906.896,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
5790,366610.139,2262806.868,901.08,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
5820,366084.989,2263840.38,904.703,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
5829,366610.224,2262787.357,899.128,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
5830,366610.189,2263723.362,912.104,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
5886,366610.169,2263333.368,919.948,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
5887,366610.194,2263352.872,920.454,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
5888,366610.176,2263450.357,917.922,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
5889,366610.198,2263469.851,917.525,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
6078,366610.186,2263703.804,912.381,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
6082,366084.97,2263820.873,904.961,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
13913,365900.72,2263586.753,896.887,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
13946,365927.316,2263586.824,898.142,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
13947,365953.787,2263586.79,898.839,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
13948,365980.399,2263586.94,899.483,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
13949,366006.878,2263586.84,901.825,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
13950,366033.648,2263586.74,902.985,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
13951,366060.286,2263586.81,903.196,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
13952,366109.787,2263586.724,903.175,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
13953,366136.621,2263586.765,902.834,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
13954,366163.17,2263586.82,902.965,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
13955,366189.745,2263586.82,903.405,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
13956,366216.326,2263586.81,903.631,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
13957,366242.942,2263586.79,903.626,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
13958,366269.518,2263586.81,903.807,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
13960,366296.113,2263586.78,904.468,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
18462,366399.272,2262845.758,907.247,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
18463,366425.849,2262845.773,907.402,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
18464,366452.458,2262845.771,907.113,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
18465,366479.154,2262845.938,907.737,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
18466,366505.678,2262845.743,907.125,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
18467,366532.28,2262845.727,905.637,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
