OBJECTID,Inverter,Row,Table_,UPN,Drive_Time_MIN,Drive_Time_SEC,As_Built_Northing,Design_Northing,Top_of_P_in_Northing_Tolerance,As_Built_Easting,Design_Easting,Easting_In_Tolerance,As_Built_Top_Elev,Design_Elevation,Pile_Length,As_Built_Reveal_ft,Design_Min_Reveal_ft,Design_Max_Reveal_ft,Reveal_in_Spec,As_Built_Embed,Design_Min_Embed,Min_Embd_Met,Pile_Twist,Twist_in_Tol,East_deg_Lean,North_Deg_Lean,Remediation_Complete,Remediation_Type,N_Dy,E_Dx,Elv_Dz,GlobalID,CreationDate,Creator,EditDate,Editor,Letter,Color,Damper,Pile_Type,Table_Ready_for_Racking,Symbology,Tracker_Slope_Deg,Cumulative_Slope,Pile_Installed,Elevation_In_Tolerance,East_Deg_Lean_In_Spec,North_Deg_Lean_in_Spec,Remediation_Approved,Pull_Test_Passed,Is_Pull_Test_Needed,Remediation_Performed,Random_Pull_Test,Cumulative_Tracker_Slope_in_Spe,Date_Installed,Date_of_Pull_Test,Date_of_Random_Pull_Test,Date_Remediation_Completed,Date_Remediation_Approved,Display,Drive_Finished_At,Drive_Machine,Hammering_Status,Hammering_Flag,Design_Bottom_of_Pile,Remediation_Reccomendation,Symbology_S02,UFN,Num_Helicals_In_Frame,Helical_Oreintation,Helical_PIle_Position,Frame_Des_Northing,Frame_Des_Easting,Frame_Des_Elv,Helical_or_W_Section,Helical_Clocking,Pile_Size,Pile_Shape,Phots_Needed,Symbology_3
47185,27,0,0,500075,,,367326.14,367326.083,Yes,2258819.597,2258819.653,Yes,890.888,888.0868,19.5,890.888,1.0,3.5,No,-871.388,16.0,No,-85.33855833,No,90.6403600888258,89.9623301968152,,,-0.6840000003576279,0.6719999983906746,,{fa0470a9-7739-401b-9dcd-7962582b0cc5},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,3.0,,,Yes,Yes,Yes,Yes,,,,,,Yes,,,,,,,,,,,,"Field verify – Reveal offset (above by 887.39 ft) – if remediation not possible, Remove & CIP",,,,,,,,,,,,,,0
47186,27,0,0,500076,,,367326.115,367326.083,Yes,2258825.721,2258825.653,Yes,890.874,888.0868,19.5,890.874,1.0,3.5,No,-871.374,16.0,No,86.1606945797488,No,90.3796881435198,89.8291383405615,,,-0.3840000000782311,-0.8159999996423721,,{fb3663e8-f877-448a-965f-20a5f97872e0},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,3.0,,,Yes,Yes,Yes,Yes,,,,,,Yes,,,,,,,,,,,,"Field verify – Reveal offset (above by 887.37 ft) – if remediation not possible, Remove & CIP",,,,,,,,,,,,,,0
47187,27,0,0,500077,,,367326.092,367326.083,Yes,2258833.17,2258833.153,Yes,890.785,888.0868,27.5,890.785,1.0,3.5,No,-863.285,24.0,No,85.864220472656,No,90.3118106844133,89.8246053040811,,,-0.1080000002402812,-0.203999999910593,,{083bf7bd-3eaa-46c9-b923-68c7c054040c},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,3.0,,,Yes,Yes,Yes,Yes,,,,,,Yes,,,,,,,,,,,,"Field verify – Reveal offset (above by 887.28 ft) – if remediation not possible, Remove & CIP",,,,,,,,,,,,,,0
47188,27,0,0,500078,,,367326.076,367326.083,Yes,2258838.432,2258838.403,Yes,890.704,888.0868,27.5,890.704,1.0,3.5,No,-863.204,24.0,No,84.9362713085596,No,90.3846587361788,89.9038339614563,,,0.0839999997988343,-0.3480000011622906,,{f3d3cbe3-e2f6-45e6-b076-99f64b7b0e8b},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,3.0,,,Yes,Yes,Yes,Yes,,,,,,Yes,,,,,,,,,,,,"Field verify – Reveal offset (above by 887.20 ft) – if remediation not possible, Remove & CIP",,,,,,,,,,,,,,0
47189,27,0,0,500079,,,367326.092,367326.083,Yes,2258843.662,2258843.653,Yes,890.671,888.0868,27.5,890.671,1.0,3.5,No,-863.171,24.0,No,83.529735630721,No,90.7206636194604,89.5595799012335,,,-0.1080000002402812,-0.1080000009387731,,{df8c0e6a-47de-4703-a455-b5c33861336d},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,3.0,,,Yes,Yes,Yes,Yes,,,,,,Yes,,,,,,,,,,,,"Field verify – Reveal offset (above by 887.17 ft) – if remediation not possible, Remove & CIP",,,,,,,,,,,,,,0
47190,27,0,0,500080,,,367326.02,367326.083,Yes,2258852.496,2258852.57,Yes,890.695,888.0868,19.5,890.695,1.0,3.5,No,-871.195,16.0,No,-80.47684572,No,89.7121872391993,89.9383253425511,,,0.7559999995864928,0.8880000002682209,,{7d8a26e6-c6bd-412a-86d3-43ee1bb49a5f},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,3.0,,,Yes,Yes,Yes,Yes,,,,,,Yes,,,,,,,,,,,,"Field verify – Reveal offset (above by 887.20 ft) – if remediation not possible, Remove & CIP",,,,,,,,,,,,,,0
47191,27,0,0,500081,,,367329.709,367329.698,Yes,2258833.117,2258833.153,Yes,890.62,888.0868,27.5,890.62,1.0,3.5,No,-863.12,24.0,No,83.9407634620698,No,89.671425658461,90.6160599077777,,,-0.1319999999832362,0.4319999981671572,,{f784fa3e-c700-44b0-9fb0-0555f04d0bf1},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,3.0,,,Yes,Yes,Yes,Yes,,,,,,Yes,,,,,,,,,,,,"Field verify – Reveal offset (above by 887.12 ft) – if remediation not possible, Remove & CIP",,,,,,,,,,,,,,0
47192,27,0,0,500082,,,367329.61,367329.698,Yes,2258838.483,2258838.403,Yes,890.91,888.0868,27.5,890.91,1.0,3.5,No,-863.41,24.0,No,86.755594711307,No,91.2999298140033,89.3054317871961,,,1.0559999998658895,-0.9600000008940696,,{1b9970f3-5e4e-456b-ba52-53f77e8741f2},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,3.0,,,Yes,Yes,Yes,Yes,,,,,,Yes,,,,,,,,,,,,"Field verify – Reveal offset (above by 887.41 ft) – if remediation not possible, Remove & CIP",,,,,,,,,,,,,,0
47193,27,0,0,500083,,,367329.692,367329.698,Yes,2258843.665,2258843.653,Yes,890.614,888.0868,27.5,890.614,1.0,3.5,No,-863.114,24.0,No,85.2805130649705,No,91.0109970518874,90.1784291856224,,,0.0719999999273568,-0.1440000012516975,,{c304b568-fc2e-470e-818f-ad057c32dfbf},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,3.0,,,Yes,Yes,Yes,Yes,,,,,,Yes,,,,,,,,,,,,"Field verify – Reveal offset (above by 887.11 ft) – if remediation not possible, Remove & CIP",,,,,,,,,,,,,,0
47194,27,0,0,500084,,,367329.755,367329.698,Yes,2258852.353,2258852.57,No,890.72,888.0868,19.5,890.72,1.0,3.5,No,-871.22,16.0,No,87.2074776401309,No,89.7569652751671,90.2227820425418,,,-0.6840000003576279,2.603999996557832,,{e436851a-ac67-4e9b-9938-520ecb7339b7},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,3.0,,,Yes,Yes,Yes,Yes,,,,,,Yes,,,,,,,,,,,,"Field verify – Easting out of tolerance – if remediation not possible, Remove & CIP",,,,,,,,,,,,,,0
