UPN,N_Y,E_X,Elv_Z,source_file,Source,Date_Scanned,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Data_Scanned ,id,hammeringStatus,positioningTime,hammeringTime,headHeight,finishedAt,reachedAt,machine
600262,0.0,0.0,0.0,BS_INV-23_S02.csv,BS_INV-23_T_S02,1/7/2026,,,,,,,,,,,600262,COMPLETED,,0.000165856,275.7833108,2025-12-17 11:39:09,,Doyle-2500-011 - Machine 2
600263,0.0,0.0,0.0,BS_INV-23_S02.csv,BS_INV-23_T_S02,1/7/2026,,,,,,,,,,,600263,COMPLETED,,0.002369977,275.8625417,2025-12-17 11:24:31,,Doyle-2500-011 - Machine 2
600264,0.0,0.0,0.0,BS_INV-23_S02.csv,BS_INV-23_T_S02,1/7/2026,,,,,,,,,,,600264,COMPLETED,,0.003092326,276.312724,2025-12-17 11:21:06,,Doyle-2500-011 - Machine 2
600265,0.0,0.0,0.0,BS_INV-23_S02.csv,BS_INV-23_T_S02,1/7/2026,,,,,,,,,,,600265,COMPLETED,,0.001135475,270.9289469,2025-12-16 10:54:23,,Doyle-2500-020 - Machine 3
600266,0.0,0.0,0.0,BS_INV-23_S02.csv,BS_INV-23_T_S02,1/7/2026,,,,,,,,,,,600266,COMPLETED,,0.004039433,270.9200794,2025-12-16 10:43:19,,Doyle-2500-020 - Machine 3
600267,0.0,0.0,0.0,BS_INV-23_S02.csv,BS_INV-23_T_S02,1/7/2026,,,,,,,,,,,600267,COMPLETED,0.00046331,0.001749236,270.9718141,2025-12-16 11:25:06,2025-12-16 11:22:28,Doyle-2500-020 - Machine 3
600268,0.0,0.0,0.0,BS_INV-23_S02.csv,BS_INV-23_T_S02,1/7/2026,,,,,,,,,,,600268,COMPLETED,,0.001519479,270.9962092,2025-12-16 11:21:45,,Doyle-2500-020 - Machine 3
400067,367100.043,2256640.495,888.526,BS_INV-25_S02.csv,BS_INV-25_T_S02,1/8/2026,,,,,,,,,,,400067,COMPLETED,0.003627164,0.000831644,271.0794585,2025-12-11 08:19:07,2025-12-11 08:17:02,Doyle-2500-007 - Machine 8
400069,367503.88,2257581.548,888.229,BS_INV-25_S02.csv,BS_INV-25_T_S02,1/8/2026,,,,,,,,,,,400069,COMPLETED,,0.000663322,270.7452461,2025-12-09 15:24:00,,Doyle-2500-007 - Machine 8
400070,367503.904,2256737.969,883.718,BS_INV-25_S02.csv,BS_INV-25_T_S02,1/8/2026,,,,,,,,,,,400070,COMPLETED,,0.001565359,269.4400203,2025-12-09 15:53:05,,Doyle-2500-007 - Machine 8
