UPN,Design Northing,Design Easting,Design Elevation
600420,370168.108,2271002.728,831.5299
600423,370168.108,2271006.603,831.56
600440,368649.251,2269579.162,831.1632
600441,368651.551,2269579.162,831.2519
600442,368649.251,2269581.037,831.1984
600443,368651.551,2269581.037,831.2249
600444,368646.951,2269598.662,831.2562
600446,368649.251,2269600.537,831.3261
600450,368512.059,2269635.662,831.1936
600451,368495.959,2269635.662,831.1122
600452,368509.759,2269639.538,831.1015
600453,368495.959,2269639.538,831.0968
600456,367737.157,2269559.663,831.9802
600460,367734.857,2269563.538,832.2468
600461,367597.665,2269637.662,831.7483
600463,367597.665,2269639.537,831.7536
600465,367597.665,2269696.162,832.1026
600467,367595.365,2269698.037,832.0259
