id,hammeringStatus,positioningTime,hammeringTime,headHeight,finishedAt,reachedAt,machine
600184,COMPLETED,0.002550451,0.000707164,281.3876817,2025-12-30 15:16:02,2025-12-30 15:13:37,Doyle-2500-021 - Machine 4
600185,COMPLETED,,0.000534826,281.5577214,2025-12-30 15:05:26,,Doyle-2500-021 - Machine 4
600186,COMPLETED,0.000589028,0.001223391,281.2857869,2025-12-30 15:19:54,2025-12-30 15:16:54,Doyle-2500-021 - Machine 4
600187,COMPLETED,,0.001111759,278.9158554,2025-12-30 12:57:11,,Doyle-2500-010 - Machine 1
600188,COMPLETED,,0.001015035,278.7786139,2025-12-30 12:52:11,,Doyle-2500-010 - Machine 1
600189,COMPLETED,,0.000766956,278.9110384,2025-12-30 12:47:08,,Doyle-2500-010 - Machine 1
600190,COMPLETED,,0.000686771,278.7808025,2025-12-30 12:41:49,,Doyle-2500-010 - Machine 1
400194,COMPLETED,,0.00480978,273.1915312,2025-12-17 10:51:34,,Doyle-2500-033 - Machine 10
400195,COMPLETED,,0.002411586,272.7759027,2025-12-17 10:02:58,,Doyle-2500-033 - Machine 10
400197,COMPLETED,,0.001276169,272.9308399,2026-01-03 09:35:08,,Doyle-2500-010 - Machine 1
400199,INCOMPLETE_NO_FINISH_TIME,,0.00312838,,,,Doyle-2500-007 - Machine 8
400201,COMPLETED,,0.001579063,271.8001342,2025-12-17 08:08:57,,Doyle-2500-007 - Machine 8
400202,COMPLETED,0.001271424,0.002332106,272.434889,2025-12-17 08:57:41,2025-12-17 08:53:06,Doyle-2500-033 - Machine 10
400203,INCOMPLETE_NO_FINISH_TIME,,0.004096343,,,,Doyle-2500-033 - Machine 10
400204,COMPLETED,,0.003079745,272.3327839,2025-12-17 08:49:00,,Doyle-2500-033 - Machine 10
400205,INCOMPLETE_NO_FINISH_TIME,,0.01093147,,,,Doyle-2500-033 - Machine 10
500169,COMPLETED,,0.000735266,271.2428941,2026-01-05 15:59:12,,Doyle-2500-011 - Machine 2
500170,INCOMPLETE_NO_FINISH_TIME,,0.001443056,,,,Doyle-2500-011 - Machine 2
500171,COMPLETED,,0.000722963,271.2391867,2026-01-05 08:00:07,,Doyle-2500-011 - Machine 2
500172,COMPLETED,,0.002067998,271.2405682,2026-01-05 08:05:38,,Doyle-2500-011 - Machine 2
500173,COMPLETED,,0.001595475,271.2432253,2026-01-05 08:11:59,,Doyle-2500-011 - Machine 2
500174,INCOMPLETE_NO_FINISH_TIME,,0.000160613,,,,Doyle-2500-011 - Machine 2
500175,COMPLETED,,0.000430544,271.2377597,2026-01-05 15:42:11,,Doyle-2500-011 - Machine 2
500176,COMPLETED,,0.000912743,271.2406408,2026-01-05 15:44:48,,Doyle-2500-011 - Machine 2
500177,COMPLETED,,0.000719514,271.2377448,2026-01-05 15:47:15,,Doyle-2500-011 - Machine 2
500178,COMPLETED,,0.000577199,271.2415367,2026-01-05 15:49:26,,Doyle-2500-011 - Machine 2
500179,COMPLETED,,0.000798206,271.2391776,2026-01-05 15:51:56,,Doyle-2500-011 - Machine 2
500180,COMPLETED,,0.00125941,271.2418688,2026-01-05 15:55:17,,Doyle-2500-011 - Machine 2
700004,INCOMPLETE_NO_FINISH_TIME,0.000861134,0.007543773,,,2026-01-12 12:37:00,Doyle-2500-010 - Machine 1
