UPN,N_Y,E_X,Elv_Z,Source
28820,367762.308,2261695.21,903.143,BS_INV-14_T_S01
28821,367788.94,2261695.293,902.605,BS_INV-14_T_S01
28822,367815.483,2261695.203,902.192,BS_INV-14_T_S01
28826,367526.473,2261695.237,909.685,BS_INV-14_T_S01
28827,367579.498,2262007.384,913.826,BS_INV-14_T_S01
28859,367552.977,2262007.319,914.199,BS_INV-14_T_S01
28860,367526.247,2262007.368,914.761,BS_INV-14_T_S01
28861,367499.732,2262007.368,915.52,BS_INV-14_T_S01
28950,367394.086,2262007.307,920.573,BS_INV-14_T_S01
28952,367446.625,2262007.341,918.212,BS_INV-14_T_S01
28953,367472.697,2262007.409,917.125,BS_INV-14_T_S01
33728,367526.847,2261656.198,910.448,BS_INV-14_T_S01
33729,367552.826,2261656.187,908.838,BS_INV-14_T_S01
33730,367579.556,2261656.185,908.122,BS_INV-14_T_S01
33731,367629.475,2261656.271,906.52,BS_INV-14_T_S01
33732,367655.971,2261656.218,905.635,BS_INV-14_T_S01
33733,367682.339,2261656.267,905.872,BS_INV-14_T_S01
33734,367709.127,2261656.224,904.423,BS_INV-14_T_S01
33735,367735.773,2261656.258,903.775,BS_INV-14_T_S01
33736,367762.268,2261656.2,903.312,BS_INV-14_T_S01
33737,367788.882,2261656.197,902.804,BS_INV-14_T_S01
33738,367393.563,2261636.707,913.842,BS_INV-14_T_S01
33739,367420.106,2261636.723,912.635,BS_INV-14_T_S01
33740,367446.697,2261636.771,911.685,BS_INV-14_T_S01
33742,367473.263,2261636.725,911.004,BS_INV-14_T_S01
33743,367526.383,2261636.749,909.796,BS_INV-14_T_S01
33745,367579.652,2261636.767,908.675,BS_INV-14_T_S01
33746,367629.493,2261636.756,906.828,BS_INV-14_T_S01
33747,367655.992,2261636.773,905.919,BS_INV-14_T_S01
33748,367682.523,2261636.751,904.965,BS_INV-14_T_S01
33749,367709.122,2261636.723,904.406,BS_INV-14_T_S01
33750,367735.708,2261636.729,903.561,BS_INV-14_T_S01
33751,367762.301,2261636.771,902.96,BS_INV-14_T_S01
33752,367788.887,2261636.745,902.206,BS_INV-14_T_S01
33756,367499.837,2261636.745,910.337,BS_INV-14_T_S01
34012,367499.728,2261656.24,910.146,BS_INV-14_T_S01
34077,367473.301,2261656.19,910.646,BS_INV-14_T_S01
34078,367420.07,2261656.232,912.167,BS_INV-14_T_S01
34408,367393.348,2261675.639,912.968,BS_INV-14_T_S01
34410,367419.941,2261675.776,911.907,BS_INV-14_T_S01
34411,367473.33,2261675.812,910.602,BS_INV-14_T_S01
34412,367499.867,2261675.796,910.002,BS_INV-14_T_S01
34413,367526.381,2261675.735,909.41,BS_INV-14_T_S01
34414,367552.991,2261675.777,908.814,BS_INV-14_T_S01
34415,367579.574,2261675.772,907.957,BS_INV-14_T_S01
34416,367629.423,2261675.706,906.399,BS_INV-14_T_S01
34417,367655.913,2261675.737,905.65,BS_INV-14_T_S01
34418,367682.77,2261675.777,904.987,BS_INV-14_T_S01
34419,367709.069,2261675.757,904.37,BS_INV-14_T_S01
34420,367735.657,2261675.747,903.842,BS_INV-14_T_S01
34421,367762.384,2261675.67,903.148,BS_INV-14_T_S01
34422,367788.853,2261675.664,902.699,BS_INV-14_T_S01
34423,367393.53,2261656.236,913.404,BS_INV-14_T_S01
34424,367446.626,2261675.776,911.055,BS_INV-14_T_S01
34521,367446.661,2261656.253,911.29,BS_INV-14_T_S01
38981,367366.903,2261714.794,913.688,BS_INV-14_T_S01
38982,367393.499,2261714.805,912.636,BS_INV-14_T_S01
39077,367815.203,2261597.651,898.896,BS_INV-14_T_S01
39079,367815.491,2261617.156,900.203,BS_INV-14_T_S01
39080,367842.118,2261617.18,899.713,BS_INV-14_T_S01
39154,367366.83,2261890.311,917.23,BS_INV-14_T_S01
39155,367393.396,2261890.307,916.53,BS_INV-14_T_S01
39156,367486.222,2261773.349,911.856,BS_INV-14_T_S01
39157,367508.678,2261773.278,911.561,BS_INV-14_T_S01
39158,367486.189,2261792.72,912.3,BS_INV-14_T_S01
39159,367508.482,2261792.792,911.878,BS_INV-14_T_S01
39160,367486.385,2261831.75,913.603,BS_INV-14_T_S01
39162,367486.328,2261812.278,912.89,BS_INV-14_T_S01
39163,367508.597,2261812.255,912.546,BS_INV-14_T_S01
42397,367815.538,2261636.686,901.873,BS_INV-14_T_S01
42409,367815.438,2261675.73,902.364,BS_INV-14_T_S01
42410,367842.046,2261675.711,901.961,BS_INV-14_T_S01
42411,367815.461,2261656.201,902.485,BS_INV-14_T_S01
42412,367842.152,2261656.231,902.043,BS_INV-14_T_S01
42413,367842.247,2261636.768,901.32,BS_INV-14_T_S01
43762,367842.168,2261812.303,903.882,BS_INV-14_T_S01
43763,367842.145,2261831.775,904.185,BS_INV-14_T_S01
43764,367842.221,2261792.827,903.366,BS_INV-14_T_S01
43765,367842.155,2261773.202,903.143,BS_INV-14_T_S01
43766,367842.015,2261890.262,905.118,BS_INV-14_T_S01
44512,367366.889,2261617.232,914.676,BS_INV-14_T_S01
44513,367366.977,2261597.686,914.405,BS_INV-14_T_S01
44612,367842.145,2261714.716,902.06,BS_INV-14_T_S01
44613,367366.706,2261909.921,918.584,BS_INV-14_T_S01
44622,367841.857,2261968.186,907.322,BS_INV-14_T_S01
44623,367842.121,2261948.851,906.668,BS_INV-14_T_S01
44624,367366.891,2261948.822,919.219,BS_INV-14_T_S01
44625,367841.882,2261987.817,907.808,BS_INV-14_T_S01
44626,367366.888,2261987.818,921.437,BS_INV-14_T_S01
44627,367841.925,2261929.245,906.09,BS_INV-14_T_S01
44628,367366.919,2261929.303,919.23,BS_INV-14_T_S01
44629,367842.17,2261909.695,905.449,BS_INV-14_T_S01
44630,367366.901,2261968.321,920.505,BS_INV-14_T_S01
44805,367842.005,2262007.369,908.361,BS_INV-14_T_S01
44807,367842.079,2261695.226,901.868,BS_INV-14_T_S01
44808,367366.921,2261695.185,913.875,BS_INV-14_T_S01
44821,367367.059,2262007.313,921.024,BS_INV-14_T_S01
45672,367366.983,2261636.757,914.741,BS_INV-14_T_S01
45673,367366.752,2261656.261,914.687,BS_INV-14_T_S01
45674,367366.936,2261675.751,914.279,BS_INV-14_T_S01
46231,367604.639,2261831.789,909.658,BS_INV-14_T_S01
46232,367604.606,2261812.307,909.263,BS_INV-14_T_S01
