19644,366868.588,2261051.718,920.637,
19645,366895.134,2261051.706,920.471,
19646,366921.740,2261051.745,919.898,
19647,366948.326,2261051.702,919.108,
19648,366974.775,2261051.741,918.016,
19649,367001.438,2261051.723,916.649,
19650,367027.983,2261051.793,915.098,
19651,367130.772,2261071.283,910.638,
19652,367054.496,2261051.650,913.490,
19653,367130.772,2261051.646,909.704,
19654,367157.341,2261051.590,908.797,
19655,367183.817,2261051.664,908.106,
19656,367210.522,2261051.642,907.146,
19657,367237.168,2261051.620,906.429,
19658,367263.679,2261051.640,905.949,
19666,367104.150,2261051.595,910.875,
19668,367104.502,2261071.141,911.812,
19669,367027.921,2261071.228,916.140,
19670,367157.539,2261110.219,912.231,
19671,367184.124,2261110.137,911.560,
19672,367210.587,2261110.176,910.490,
19673,367237.210,2261110.169,909.770,
19674,367263.830,2261110.242,909.216,
19676,366868.569,2261090.731,921.608,
19677,366895.142,2261090.680,921.578,
19678,366921.677,2261090.727,921.266,
19679,366948.043,2261090.631,920.796,
19680,366974.701,2261090.591,919.840,
19681,367001.391,2261090.660,918.565,
19682,367028.076,2261090.674,917.147,
19683,367054.563,2261071.212,914.480,
19684,367054.531,2261090.620,915.512,
19685,367130.798,2261090.575,911.887,
19686,367157.296,2261090.676,911.036,
19687,367183.942,2261090.688,910.356,
19688,367210.478,2261090.628,909.343,
19689,367237.267,2261090.634,908.583,
19690,367263.744,2261090.770,908.026,
19692,366868.621,2261071.174,921.185,
19693,366895.152,2261071.174,921.135,
19694,366921.742,2261071.172,920.656,
19695,366948.302,2261071.188,919.942,
19696,366974.850,2261071.161,919.043,
19697,367001.258,2261071.184,917.766,
19698,367104.199,2261090.664,913.058,
19809,366868.676,2260856.788,916.595,
19810,366895.106,2260856.741,915.031,
19812,366921.729,2260856.705,913.413,
19813,366974.885,2260856.724,910.421,
19814,367001.335,2260856.766,909.161,
19815,367027.955,2260856.767,907.487,
19816,367054.429,2260856.800,905.997,
19817,367104.232,2260856.789,903.436,
19818,367130.747,2260856.782,901.907,
19819,367157.444,2260856.781,900.978,
19820,367183.896,2260856.802,899.916,
19821,367210.580,2260856.768,898.585,
19822,367237.084,2260856.758,897.486,
19823,367263.647,2260856.747,896.638,
19826,366948.434,2260856.784,911.954,
27034,366868.668,2260837.309,916.755,
27035,366895.114,2260837.331,915.142,
27036,366921.675,2260837.309,913.322,
27037,366948.234,2260837.302,911.880,
27038,366974.795,2260837.266,910.277,
27039,367001.387,2260837.294,909.013,
27040,367027.888,2260837.289,907.285,
27041,367054.505,2260837.282,905.627,
27042,367104.331,2260837.295,902.877,
27043,367130.787,2260837.282,901.507,
27044,367157.306,2260837.216,900.213,
27078,367183.932,2260837.299,899.144,
27205,367210.502,2260837.339,897.840,
27206,367237.058,2260837.235,896.786,
27207,367263.591,2260837.298,895.784,
27336,366868.686,2260817.811,916.766,
27337,366895.302,2260817.702,915.029,
27338,366921.663,2260817.931,914.258,
27339,366948.395,2260817.711,911.373,
27340,366974.718,2260817.778,910.010,
27341,367001.447,2260817.774,908.977,
27342,367028.006,2260817.736,907.401,
27343,367054.786,2260817.823,905.777,
27344,367104.068,2260817.758,902.369,
27345,367130.756,2260817.750,900.901,
27346,367157.364,2260817.714,899.677,
27347,367183.887,2260817.794,898.364,
27349,367210.436,2260817.793,897.016,
27350,367263.729,2260817.702,897.366,
27351,367290.155,2260817.679,894.132,
27363,367237.461,2260817.746,895.954,
27367,367290.147,2260837.118,895.139,
27399,367290.115,2260798.167,893.309,
27412,367263.564,2260798.248,894.111,
27429,367236.992,2260798.246,895.040,
27430,367183.966,2260798.156,897.517,
27444,367210.413,2260798.241,896.273,
27448,366868.624,2260798.212,916.689,
27449,366895.251,2260798.226,914.708,
27450,366921.727,2260798.282,912.794,
27451,366948.400,2260798.396,911.196,
27452,366974.861,2260798.260,909.887,
27453,367001.345,2260798.299,908.896,
27454,367027.965,2260798.297,907.581,
27455,367054.483,2260798.261,905.958,
27456,367104.110,2260798.227,902.396,
27457,367130.753,2260798.243,900.559,
27458,367157.280,2260798.273,899.147,
29784,366921.579,2261149.252,922.318,
29785,366948.109,2261149.256,922.110,
29786,366974.687,2261149.246,921.500,
29787,367001.344,2261149.188,920.821,
