UPN,N_Y,E_X,Elv_Z,Source,Date_Scanned,,,,,,,,,
1553,367124.102,2257442.565,886.544,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1554,367150.687,2257442.48,886.575,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1555,367177.347,2257442.56,886.769,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1556,367203.941,2257442.525,887.128,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1557,367230.446,2257442.66,887.325,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1558,367256.98,2257442.555,887.766,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1559,367283.654,2257442.515,887.847,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1560,367310.446,2257442.532,887.988,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1561,367336.815,2257442.615,887.563,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1562,366861.744,2257422.776,886.567,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1563,366888.136,2257423.012,886.806,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1564,366914.757,2257423.016,886.701,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1565,366941.341,2257423.031,886.662,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1566,366967.899,2257423.021,886.607,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1567,366994.463,2257422.987,886.625,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1568,367021.138,2257423.005,886.683,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1705,366994.409,2257442.5,886.455,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1795,366967.946,2257442.487,886.408,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1796,366941.305,2257442.494,886.57,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1797,366914.76,2257442.474,886.626,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
2039,366861.539,2257442.491,887.075,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
2040,366888.096,2257442.485,886.833,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
2180,367047.661,2257364.543,886.386,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
2181,367021.027,2257364.463,886.38,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
2182,366994.498,2257364.553,886.226,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
2183,366967.861,2257364.512,886.354,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
2184,366941.262,2257364.475,886.35,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
2185,366914.672,2257364.563,886.302,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
2186,366888.148,2257364.502,886.392,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
2187,366861.583,2257364.561,886.398,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
2243,367074.281,2257364.5,886.568,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
2244,367124.114,2257364.504,886.698,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
