UPN,N_Y,E_X,Elv_Z,Source
18292,366948.047,2262397.115,892.59,BS_INV-15_B_S01
18293,366974.63,2262397.186,892.288,BS_INV-15_B_S01
18294,367001.25,2262397.217,892.561,BS_INV-15_B_S01
18295,367027.865,2262397.268,892.591,BS_INV-15_B_S01
18296,367054.352,2262397.28,893.116,BS_INV-15_B_S01
18297,367104.192,2262397.166,891.52,BS_INV-15_B_S01
18298,367130.808,2262397.178,891.511,BS_INV-15_B_S01
18299,367157.395,2262397.183,891.962,BS_INV-15_B_S01
18300,367210.611,2262416.733,894.373,BS_INV-15_B_S01
19898,366894.985,2262124.215,901.325,BS_INV-15_B_S01
19899,366921.639,2262124.17,902.36,BS_INV-15_B_S01
19900,366948.229,2262124.175,902.902,BS_INV-15_B_S01
19901,366974.753,2262124.193,903.723,BS_INV-15_B_S01
19902,367001.35,2262124.175,904.46,BS_INV-15_B_S01
19903,367027.947,2262124.183,905.314,BS_INV-15_B_S01
19904,367054.524,2262124.165,905.752,BS_INV-15_B_S01
19905,367104.323,2262124.16,907.246,BS_INV-15_B_S01
19907,367130.914,2262124.173,907.237,BS_INV-15_B_S01
19908,367184.078,2262124.139,908.454,BS_INV-15_B_S01
19909,367210.666,2262124.161,908.983,BS_INV-15_B_S01
19910,367237.281,2262124.149,908.827,BS_INV-15_B_S01
19911,367263.838,2262124.173,909.125,BS_INV-15_B_S01
19912,366895.008,2262143.688,900.884,BS_INV-15_B_S01
19913,366921.639,2262143.724,901.455,BS_INV-15_B_S01
19914,366948.159,2262143.693,901.46,BS_INV-15_B_S01
19915,366974.829,2262143.746,902.359,BS_INV-15_B_S01
19916,367001.383,2262143.709,903.185,BS_INV-15_B_S01
19917,367028.004,2262143.767,904.269,BS_INV-15_B_S01
19918,367054.505,2262143.693,904.757,BS_INV-15_B_S01
19919,367104.274,2262143.669,906.246,BS_INV-15_B_S01
19920,367130.886,2262143.658,906.754,BS_INV-15_B_S01
19921,367157.52,2262124.122,907.932,BS_INV-15_B_S01
19954,367157.442,2262143.685,906.892,BS_INV-15_B_S01
20081,367184.048,2262143.648,907.949,BS_INV-15_B_S01
20082,367210.647,2262143.641,908.318,BS_INV-15_B_S01
20083,367237.259,2262143.636,908.525,BS_INV-15_B_S01
20242,367263.832,2262182.846,907.642,BS_INV-15_B_S01
