UPN,N_Y,E_X,Elv_Z,Source
28886,367393.567,2262085.283,917.789,BS_INV-15_T_S01
28887,367420.082,2262085.25,916.155,BS_INV-15_T_S01
28888,367446.643,2262085.194,915.625,BS_INV-15_T_S01
28889,367473.297,2262085.267,915.214,BS_INV-15_T_S01
28890,367553.07,2262104.717,914.047,BS_INV-15_T_S01
28924,367526.498,2262085.174,914.294,BS_INV-15_T_S01
28925,367579.586,2262085.203,914.067,BS_INV-15_T_S01
28926,367629.32,2262046.13,913.656,BS_INV-15_T_S01
28927,367655.937,2262046.187,913.246,BS_INV-15_T_S01
28928,367682.415,2262046.187,912.561,BS_INV-15_T_S01
28929,367709.067,2262046.205,911.523,BS_INV-15_T_S01
28930,367735.694,2262046.099,910.598,BS_INV-15_T_S01
28931,367762.301,2262046.194,910.021,BS_INV-15_T_S01
28932,367788.878,2262046.195,909.612,BS_INV-15_T_S01
28933,367815.313,2262046.147,909.611,BS_INV-15_T_S01
28934,367393.581,2262026.816,920.579,BS_INV-15_T_S01
28935,367420.141,2262026.733,918.773,BS_INV-15_T_S01
28936,367446.453,2262026.702,919.004,BS_INV-15_T_S01
28937,367473.3,2262026.764,916.416,BS_INV-15_T_S01
28938,367499.77,2262026.712,915.335,BS_INV-15_T_S01
28939,367579.606,2262046.211,914.034,BS_INV-15_T_S01
28940,367526.367,2262026.703,914.663,BS_INV-15_T_S01
28941,367579.525,2262026.699,914.043,BS_INV-15_T_S01
28942,367629.541,2262026.763,913.466,BS_INV-15_T_S01
28943,367655.886,2262026.703,912.709,BS_INV-15_T_S01
28944,367682.573,2262026.643,911.878,BS_INV-15_T_S01
28945,367709.056,2262026.647,910.999,BS_INV-15_T_S01
28946,367735.686,2262026.672,910.121,BS_INV-15_T_S01
28947,367762.239,2262026.667,909.563,BS_INV-15_T_S01
28948,367788.908,2262026.65,909.224,BS_INV-15_T_S01
28949,367815.325,2262026.619,909.099,BS_INV-15_T_S01
28954,367552.906,2262026.685,914.234,BS_INV-15_T_S01
28955,367553.018,2262085.171,914.162,BS_INV-15_T_S01
28956,367552.887,2262046.214,914.206,BS_INV-15_T_S01
28957,367499.798,2262046.242,915.131,BS_INV-15_T_S01
28958,367629.429,2262085.209,914.111,BS_INV-15_T_S01
28959,367655.995,2262085.249,913.996,BS_INV-15_T_S01
28960,367682.703,2262085.259,913.587,BS_INV-15_T_S01
28961,367709.2,2262085.141,912.841,BS_INV-15_T_S01
28962,367735.826,2262085.176,911.86,BS_INV-15_T_S01
28963,367762.417,2262085.215,911.196,BS_INV-15_T_S01
28964,367789.02,2262085.212,910.77,BS_INV-15_T_S01
28965,367815.571,2262085.163,910.538,BS_INV-15_T_S01
28966,367393.448,2262065.885,920.285,BS_INV-15_T_S01
28967,367420.144,2262065.851,917.958,BS_INV-15_T_S01
28968,367446.62,2262065.864,916.249,BS_INV-15_T_S01
28969,367473.492,2262065.886,917.44,BS_INV-15_T_S01
28970,367499.762,2262065.861,915.576,BS_INV-15_T_S01
28971,367526.294,2262046.183,914.505,BS_INV-15_T_S01
28972,367526.378,2262065.852,914.459,BS_INV-15_T_S01
