UPN,Northing,Easting,Elevation
39246,365348.8985,2263703.772,903.815596
39245,365322.3205,2263703.772,904.6955113
39261,365678.2022,2263723.272,901.7062
39262,365655.9503,2263723.272,901.7733676
8232,365633.6998,2263723.272,902.0234397
8233,365607.1136,2263723.272,902.6085649
8235,365584.863,2263723.272,902.8457406
46170,365559.9496,2263723.272,902.8869399
8249,365535.0366,2263723.272,903.0201824
8236,365508.4445,2263723.272,902.8607228
8237,365481.8532,2263723.272,902.608
8238,365455.2606,2263723.272,902.6223
8239,365428.6689,2263723.272,902.8263
8240,365402.0775,2263723.272,903.0686735
8241,365375.485,2263723.272,903.1035391
39263,365348.8947,2263723.272,903.4400872
39264,365322.3097,2263723.272,904.0783201
39265,365678.1998,2263742.772,901.661
39258,365655.9478,2263742.772,901.675461
8222,365633.6974,2263742.772,901.9341598
8223,365607.1113,2263742.772,902.523202
8224,365584.8625,2263742.772,902.8936552
46171,365559.9496,2263742.772,903.0522774
8225,365535.0365,2263742.772,902.9307192
8226,365508.4473,2263742.772,902.5088312
8227,365481.8553,2263742.772,902.3593
8228,365455.2631,2263742.772,902.5046
8229,365428.6708,2263742.772,902.6241788
8230,365402.0795,2263742.772,902.874237
8231,365375.4871,2263742.772,902.8226129
39259,365348.8957,2263742.772,903.067155
39260,365322.3087,2263742.772,903.6133812
39253,365678.2007,2263762.272,901.4422352
39254,365655.9487,2263762.272,901.4806702
8148,365633.6987,2263762.272,901.7715447
8149,365607.1133,2263762.272,902.3910791
8150,365584.863,2263762.272,902.6570472
46173,365559.9496,2263762.272,902.6721936
8151,365535.0363,2263762.272,902.6067
8152,365508.4438,2263762.272,902.6453912
8170,365481.8526,2263762.272,902.3824
8186,365455.26,2263762.272,902.4083391
8187,365428.6675,2263762.272,902.4018891
8188,365402.076,2263762.272,902.6244404
8221,365375.4848,2263762.272,902.8903774
39255,365348.8923,2263762.272,902.854632
39257,365322.2999,2263762.272,902.9478549
39139,365678.2006,2263781.772,901.6780942
39140,365655.9487,2263781.772,901.7349295
8566,365633.6989,2263781.772,902.0442041
8538,365607.1133,2263781.772,902.6557157
8552,365584.863,2263781.772,902.9149708
46162,365559.9496,2263781.772,902.96375
8537,365535.0363,2263781.772,902.9085184
8520,365508.4462,2263781.772,902.5485346
8507,365481.8544,2263781.772,902.3548
8508,365455.262,2263781.772,902.4586
8509,365428.6696,2263781.772,902.5126
8510,365402.0773,2263781.772,902.6205757
8511,365375.4858,2263781.772,902.848419
39141,365348.8934,2263781.772,902.7745799
39142,365322.3008,2263781.772,902.7848907
39135,365678.1954,2263801.272,901.4721089
39136,365655.9451,2263801.272,901.7482456
8556,365633.6994,2263801.272,902.2698219
8557,365607.1135,2263801.272,902.8687664
8558,365584.863,2263801.272,903.1175056
46163,365559.9496,2263801.272,903.1133622
8559,365535.0367,2263801.272,902.9584
8560,365508.4444,2263801.272,902.8521605
8561,365481.855,2263801.272,902.448
8562,365455.2626,2263801.272,902.3355
8563,365428.6703,2263801.272,902.437
8564,365402.0783,2263801.272,902.6014
8565,365375.4867,2263801.272,902.8194
39137,365348.8952,2263801.272,903.0497957
39138,365322.3027,2263801.272,902.978509
39147,365678.1898,2263820.772,901.5944089
39148,365655.9417,2263820.772,902.0124076
8522,365633.6999,2263820.772,902.6821687
8523,365607.1137,2263820.772,903.2645521
8524,365584.863,2263820.772,903.4994333
46160,365559.9496,2263820.772,903.4797744
8525,365535.038,2263820.772,903.1774819
8526,365508.4476,2263820.772,902.8498262
8527,365481.8582,2263820.772,902.4406133
8528,365455.2658,2263820.772,902.3261
8529,365428.674,2263820.772,902.5057774
8530,365402.0817,2263820.772,902.4029
8531,365375.4898,2263820.772,902.58575
39133,365348.8987,2263820.772,902.8582581
39149,365322.3061,2263820.772,902.8290841
2473,365678.1968,2263840.272,902.325106
2474,365655.9492,2263840.272,902.7660887
2475,365633.704,2263840.272,903.3126779
2476,365607.1137,2263840.272,903.6642072
2477,365584.8619,2263840.272,903.7059167
5890,365559.9496,2263840.272,903.4699812
2478,365535.0416,2263840.272,902.951412
2479,365508.4522,2263840.272,902.542807
2481,365481.86,2263840.272,902.4358845
2490,365455.2704,2263840.272,902.0336
2482,365428.6781,2263840.272,901.9326624
2483,365402.0856,2263840.272,901.9782561
2484,365375.4932,2263840.272,902.0561561
2485,365348.9012,2263840.272,902.2099061
2486,365322.3086,2263840.272,902.1547061
39143,365678.2019,2263586.772,901.7914089
39144,365655.9502,2263586.772,901.8997589
8512,365633.6983,2263586.772,901.9312141
8513,365607.1057,2263586.772,901.9731134
