UPN,N_Y,E_X,Elv_Z,source_file,Source,Date_Scanned,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Data_Scanned 
600234,365954.381,2261170.696,903.427,Finn_INV-21-Z-02-S03_T.csv,Finn_INV 21-Z02-S03_T,1/2/2025,,,,,,,,,,
600235,365948.584,2261170.735,903.381,Finn_INV-21-Z-02-S03_T.csv,Finn_INV 21-Z02-S03_T,1/2/2025,,,,,,,,,,
600236,365959.917,2261170.679,903.643,Finn_INV-21-Z-02-S03_T.csv,Finn_INV 21-Z02-S03_T,1/2/2025,,,,,,,,,,
600237,365808.944,2261205.799,900.517,Finn_INV-21-Z-02-S03_T.csv,Finn_INV 21-Z02-S03_T,1/2/2025,,,,,,,,,,
600238,365804.457,2261205.865,900.146,Finn_INV-21-Z-02-S03_T.csv,Finn_INV 21-Z02-S03_T,1/2/2025,,,,,,,,,,
600239,365809.02,2261207.701,900.457,Finn_INV-21-Z-02-S03_T.csv,Finn_INV 21-Z02-S03_T,1/2/2025,,,,,,,,,,
600240,365804.379,2261207.598,900.121,Finn_INV-21-Z-02-S03_T.csv,Finn_INV 21-Z02-S03_T,1/2/2025,,,,,,,,,,
600241,365808.989,2261225.277,900.476,Finn_INV-21-Z-02-S03_T.csv,Finn_INV 21-Z02-S03_T,1/2/2025,,,,,,,,,,
600242,365804.45,2261225.257,900.385,Finn_INV-21-Z-02-S03_T.csv,Finn_INV 21-Z02-S03_T,1/2/2025,,,,,,,,,,
600243,365809.1,2261227.172,900.655,Finn_INV-21-Z-02-S03_T.csv,Finn_INV 21-Z02-S03_T,1/2/2025,,,,,,,,,,
600244,365804.37,2261227.237,900.438,Finn_INV-21-Z-02-S03_T.csv,Finn_INV 21-Z02-S03_T,1/2/2025,,,,,,,,,,
400232,365560.955,2261541.675,896.33,Finn_INV-21_Z-03_T_S03.csv,Finn_INV-21_Z-03_T_S03,1/2/2025,,,,,,,,,,
400233,365560.941,2260873.784,889.119,Finn_INV-21_Z-03_T_S03.csv,Finn_INV-21_Z-03_T_S03,1/2/2025,,,,,,,,,,
400239,365557.45,2261226.238,890.906,Finn_INV-21_Z-03_T_S03.csv,Finn_INV-21_Z-03_T_S03,1/2/2025,,,,,,,,,,
400241,365557.414,2261206.708,890.476,Finn_INV-21_Z-03_T_S03.csv,Finn_INV-21_Z-03_T_S03,1/2/2025,,,,,,,,,,
400262,366084.093,2263413.772,907.5608758,INV 24 Design Points.csv,,,,,,,,,,,,
400263,365560.95,2263862.272,902.9068974,INV 24 Design Points.csv,,,,,,,,,,,,
400264,365560.95,2262979.772,905.1061853,INV 24 Design Points.csv,,,,,,,,,,,,
400265,366084.093,2262882.272,908.5074414,INV 24 Design Points.csv,,,,,,,,,,,,
400266,365949.613,2263293.272,905.9637,INV 24 Design Points.csv,,,,,,,,,,,,
400267,366087.637,2263295.272,907.56,INV 24 Design Points.csv,,,,,,,,,,,,
400268,365949.613,2263295.272,905.8636,INV 24 Design Points.csv,,,,,,,,,,,,
400269,366087.637,2263293.272,907.5316,INV 24 Design Points.csv,,,,,,,,,,,,
400270,365812.522,2263351.772,904.6628,INV 24 Design Points.csv,,,,,,,,,,,,
400271,365557.405,2263351.772,900.5654615,INV 24 Design Points.csv,,,,,,,,,,,,
400272,365812.522,2263312.772,904.3813,INV 24 Design Points.csv,,,,,,,,,,,,
400273,365557.405,2263312.772,902.4042244,INV 24 Design Points.csv,,,,,,,,,,,,
600269,365953.113,2263292.335,907.6257,INV 24 Design Points.csv,,,,,,,,,,,,
600270,365960.013,2263292.335,907.7631,INV 24 Design Points.csv,,,,,,,,,,,,
