OBJECTID,Inverter,Row,Table_,UPN,Drive Time (Min),Drive Time (Sec),As-Built Northing,Design Northing,Top of Pile in Northing Tolerance?,As Built Easting,Design Easting,Top of Pile in Easting Tolerance?,As Built Top Elevation,Design Elevation,Pile Length (ft),As-Built Reveal (ft),Design Min Reveal (ft),Design Max Reveal (ft),Reveal in Spec (Y/N),As-Built Embedment,Design Min Embedment (ft),Min Embedment Met (Y/N),Pile Twist (Degrees),Twist in Tolerance (Y/N),East Degree Lean (West Negative),North Degree Lean (South Negative),Remediation Complete (Y/N/NA),Remediation Type,Top of Pile Delta Northing (in),Top of Pile Location Delta Easting (in),Pile Height (Deg),GlobalID,CreationDate,Creator,EditDate,Editor,Letter,Color,Damper,Pile Type,Table_Ready_for_Racking,Symbology,Tracker Slope (Deg),Cumulative Tracker Slope,Pile Installed?,Elevation in Tolerance?,East Degree Lean in Spec?,North Degree Lean in Spec?,Remediation Approved,Pull Test Passed?,Is Pull Test Needed?,Remediation Performed,Random Pull Test,Cumulative Tracker Slope in Spec?,Date Installed,Date of Pull Test,Date of Random Pull Test,Date Remediation Completed,Date Remediation Approved,Display,Drive Finished At,Drive Machine,Hammering Status,Hammering Flag,Design Bottom of Pile,Remediation_Reccomendation,Symbology_S02,Unique Frame Number,Number of Helicas In Frame,Helical Oreintation,Helical Pile Position,Frame Design Northing,Frame Design Easting,Frame Design Elevation,Helical or W Section,Helical Clocking,Pile Size,Pile_Shape,x,y
47164,25,0,0,500054,,,,367329.698,,,2257357.153,,,884.3632,19.5,,1.0,3.5,,,16.0,,,Yes,,,,,4407956.376,27088285.836,,25f34bf6-4a3c-4285-910f-3985d329e550,12/16/2025 4:14:51 PM,HNemerov_westwood,2/5/2026 4:18:31 PM,Boldtpersonnel_boldt,,,,INVERTER PILE,,0.0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-88.9201319262423,43.0027238205671
47166,25,0,0,500056,,,,367326.083,,,2257363.153,,,884.3632,19.5,,1.0,3.5,,,16.0,,,Yes,,,,,4407912.996,27088357.836,,743506f8-d84e-4e81-8934-ce7a01b0e7f8,12/16/2025 4:14:51 PM,HNemerov_westwood,1/14/2026 9:07:38 PM,sauron.sanchez,,,,INVERTER PILE,,0.0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-88.9201096731761,43.0027136889742
47167,25,0,0,500057,,,,367326.083,,,2257370.653,,,884.3632,27.5,,1.0,3.5,,,24.0,,,Yes,,,,,4407912.996,27088447.836,,fae878e0-797c-4959-846f-9a5294002162,12/16/2025 4:14:51 PM,HNemerov_westwood,2/5/2026 4:16:30 PM,Boldtpersonnel_boldt,,,,INVERTER PILE,,0.0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-88.9200816385527,43.0027134229065
47168,25,0,0,500058,,,,367326.083,,,2257375.903,,,884.3632,27.5,,1.0,3.5,,,24.0,,,Yes,,,,,4407912.996,27088510.836,,13812159-3463-4de6-863d-4cf2ebd1e788,12/16/2025 4:14:51 PM,HNemerov_westwood,2/5/2026 4:13:21 PM,Boldtpersonnel_boldt,,,,INVERTER PILE,,0.0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-88.920062013957,43.0027132363306
47169,25,0,0,500059,,,,367326.083,,,2257381.153,,,884.3632,27.5,,1.0,3.5,,,24.0,,,Yes,,,,,4407912.996,27088573.836,,645b49cc-68f3-4f3c-9447-34a9eb4b26db,12/16/2025 4:14:51 PM,HNemerov_westwood,1/14/2026 9:07:38 PM,sauron.sanchez,,,,INVERTER PILE,,0.0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-88.9200423893613,43.0027130497548
47170,25,0,0,500060,,,,367326.083,,,2257390.07,,,884.3632,19.5,,1.0,3.5,,,16.0,,,Yes,,,,,4407912.996,27088680.84,,62b22c7c-3ce7-41e8-8f23-390bdc5fceae,12/16/2025 4:14:51 PM,HNemerov_westwood,2/5/2026 4:11:27 PM,Boldtpersonnel_boldt,,,,INVERTER PILE,,0.0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-88.9200090573727,43.0027127324445
48112,27,0,0,400091,,,,367100.121,,,2259219.464,,,893.629137699999,15.0,,3.25,6.36,,,8.5,,,Yes,,,,,4405201.452,27110633.568,,604f52ac-7837-44ee-b2b2-759fe979ed0a,12/16/2025 5:07:58 PM,HNemerov_westwood,1/19/2026 2:31:08 PM,sauron.sanchez,,,,CAB Dead-End Pile E-W,,1.0,,,Refusal,,,,,,,Shallow refusal need pull test and cut punch ,,,,,,,,Remediation,,,,,,,,,,,,,,,Wsection,,,,-88.913181763297,43.0020275827035
48113,27,0,0,400092,,,,367100.121,No,,2258395.464,No,,889.459541308395,15.0,,3.25,6.36,,,8.5,,,Yes,,,,,4405201.452,27100745.568,,90bd577f-8951-4179-a7ab-829b7bcb578d,12/16/2025 5:07:58 PM,HNemerov_westwood,1/19/2026 2:31:08 PM,sauron.sanchez,,,,CAB Dead-End Pile E-W,,1.0,,,Yes,,,,,,,,,Yes,1/3/2026 6:00:00 AM,,,,,Installation,,,,,,,,,,,,,,,Wsection,,,,-88.9162618546409,43.0020570068238
48114,27,0,0,400093,,,,367503.872,No,,2259355.964,No,,887.599411946621,15.0,,3.25,6.36,,,8.5,,,Yes,,,,,4410046.464,27112271.568,,dde675d7-861f-491b-a775-3e218c7a1062,12/16/2025 5:07:58 PM,HNemerov_westwood,1/31/2026 2:21:54 PM,Boldtpersonnel_boldt,,,,CAB Dead-End Pile E-W,,1.0,,,Yes,,,,,,,,,Yes,1/31/2026 6:00:00 AM,,,,,Installation,,,,,,,,,,,,,,,Wsection,,,,-88.9126518489075,43.003130409303
48115,27,0,0,400094,,,,367503.872,No,,2258531.964,No,,886.218133120214,15.0,,3.25,6.36,,,8.5,,,Yes,,,,,4410046.464,27102383.568,,46b9c39a-efe6-41d5-82dd-84144ac6baee,12/16/2025 5:07:58 PM,HNemerov_westwood,1/19/2026 2:31:08 PM,sauron.sanchez,,,,CAB Dead-End Pile E-W,,1.0,,,Yes,,,,,,,,,Yes,1/6/2026 6:00:00 AM,,,,,Installation,,,,,,,,,,,,,,,Wsection,,,,-88.915731995947,43.003159847348
48116,27,0,0,400095,,,,367239.245,No,,2258864.964,No,,889.5902,15.0,,3.25,5.45,,,8.5,,,Yes,,,,,4406870.94,27106379.568,,41f5f94f-3f03-4d05-94f5-e4f4a7204b67,12/16/2025 5:07:58 PM,HNemerov_westwood,1/19/2026 2:31:08 PM,sauron.sanchez,,,,CAB Dead-End Pile N-S,,1.0,,,Yes,,,,,,,,,Yes,1/6/2026 6:00:00 AM,,,,,Installation,,,,,,,,,,,,,,,Wsection,,,,-88.9145001047568,43.0024219447613
